match_name,actual_score,portfolio_name,portfolio_style,pre_match_rank,profit,roi,failure_pattern,favorite_margin,handicap_depth,actual_score_covered,underdog_goal_tail_included,draw_path_included,qualification_pressure_type,recommended_fix
苏格兰 vs 巴西,0:3,我的组合,My Portfolio,,77.0,0.11,profitable,three_plus_goal_win,0.0,,True,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,第8组合,System,8,-190.0,-0.173,correct_score_over_concentrated,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
苏格兰 vs 巴西,0:3,第11组合,System,11,-450.0,-0.409,market_direction_wrong,three_plus_goal_win,1.5,False,False,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,第2组合,Conservative,2,-710.0,-0.645,correct_score_over_concentrated,three_plus_goal_win,1.5,False,True,False,,Limit clean-sheet correct-score concentration.
苏格兰 vs 巴西,0:3,第3组合,System,3,-1100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,1.5,False,True,False,,Limit clean-sheet correct-score concentration.
苏格兰 vs 巴西,0:3,第9组合,System,9,-1100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
苏格兰 vs 巴西,0:3,第10组合,System,10,-1100.0,-1.0,low_odds_false_safety,three_plus_goal_win,1.5,False,False,False,,Reduce false safety from low-odds single-path assets.
苏格兰 vs 巴西,0:3,第12组合,System,12,-1100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,第10组合,System,10,365.0,1.217,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
南非 vs 韩国,1:0,第7组合,System,7,144.0,0.48,profitable,one_goal_win,0.5,True,True,False,,No tuning action from this row alone.
南非 vs 韩国,1:0,第8组合,System,8,144.0,0.48,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
南非 vs 韩国,1:0,第6组合,Aggressive,6,-78.0,-0.26,correct_score_over_concentrated;market_direction_wrong,one_goal_win,0.5,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,推荐组合,Recommendation / Rank #1,1,-300.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,第2组合,System,2,-300.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
南非 vs 韩国,1:0,第3组合,System,3,-300.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;market_direction_wrong,one_goal_win,0.5,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,第4组合,Tail Hedge,4,-300.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,第5组合,System,5,-300.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,第9组合,System,9,-300.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
南非 vs 韩国,1:0,我的组合,My Portfolio,,-1400.0,-0.609,correct_score_over_concentrated;market_direction_wrong;over_under_wrong,one_goal_win,0.0,,True,False,,Limit clean-sheet correct-score concentration.
瑞士 vs 加拿大,2:1,第4组合,System,4,959.0,1.37,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,第3组合,System,3,928.0,1.326,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,推荐组合,Recommendation / Rank #1,1,905.0,1.293,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,我的组合,My Portfolio,,376.0,0.376,profitable,one_goal_win,0.5,,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,第6组合,System,6,248.0,0.354,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,第2组合,System,2,232.0,0.331,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
瑞士 vs 加拿大,2:1,第5组合,System,5,217.0,0.31,profitable,one_goal_win,0.5,True,False,False,,No tuning action from this row alone.
