match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第7组合,System,7,53,1500.0,-1500.0,-1.0,0,3,0,2:1,one_goal_win,False,True,True,7,11,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第8组合,System,8,37,1500.0,13043.18,8.6955,1,0,0,0:1,one_goal_win,True,False,False,8,1,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第9组合,System,9,35,1500.0,6256.36,4.1709,1,1,0,1:2,one_goal_win,True,False,False,9,2,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第10组合,System,10,35,1500.0,1181.54,0.7877,1,0,0,1:0,one_goal_win,True,False,False,10,5,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,推荐组合,System,11,34,1500.0,-351.69,-0.2345,2,19,1,2:3,one_goal_win,False,False,True,11,6,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,推荐组合,System,1,66,700.0,350.0,0.5,1,0,0,0:2,three_plus_goal_win,True,False,False,1,1,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第2组合,System,2,66,700.0,350.0,0.5,1,0,0,0:2,three_plus_goal_win,True,False,False,2,2,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第3组合,System,3,47,700.0,-100.0,-0.1429,1,1,0,0:1,three_plus_goal_win,False,False,False,3,3,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第4组合,System,4,45,700.0,-700.0,-1.0,0,1,0,0:1,three_plus_goal_win,False,True,False,4,6,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第5组合,System,5,42,700.0,-700.0,-1.0,0,1,0,0:1,three_plus_goal_win,False,True,False,5,7,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第6组合,System,6,41,700.0,-250.0,-0.3571,1,1,0,0:1,three_plus_goal_win,False,False,False,6,4,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第7组合,System,7,40,700.0,-400.0,-0.5714,1,3,0,0:2,three_plus_goal_win,False,False,False,7,5,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第8组合,System,8,40,700.0,-700.0,-1.0,0,2,0,0:2,three_plus_goal_win,False,True,False,8,8,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第9组合,System,9,40,700.0,-700.0,-1.0,0,2,0,0:1,three_plus_goal_win,False,True,False,9,9,True
2026_06_20_Tunisia_Japan,突尼斯 vs 日本,06/20/2026 22:00,0:4,第10组合,System,10,34,700.0,-700.0,-1.0,0,2,0,0:1,three_plus_goal_win,False,True,False,10,10,True
2026_06_20_United_States_Australia,美国 vs 澳大利亚,2026-06-19T19:00Z,2:0,推荐组合,System,1,80,100.0,60.0,0.6,1,0,0,1:0,two_goal_win,True,False,False,1,1,True
2026_06_20_United_States_Australia,美国 vs 澳大利亚,2026-06-19T19:00Z,2:0,第2组合,System,2,80,100.0,60.0,0.6,1,0,0,1:0,two_goal_win,True,False,False,2,2,True
2026_06_20_United_States_Australia,美国 vs 澳大利亚,2026-06-19T19:00Z,2:0,第3组合,System,3,80,100.0,60.0,0.6,1,0,0,1:0,two_goal_win,True,False,False,3,3,True
2026_06_20_United_States_Australia,美国 vs 澳大利亚,2026-06-19T19:00Z,2:0,第4组合,System,4,80,100.0,60.0,0.6,1,0,0,1:0,two_goal_win,True,False,False,4,4,True
2026_06_20_United_States_Australia,美国 vs 澳大利亚,2026-06-19T19:00Z,2:0,第5组合,System,5,80,100.0,60.0,0.6,1,0,0,1:0,two_goal_win,True,False,False,5,5,True
2026_06_24_Bosnia_and_Herzegovina_Qatar,波黑 vs 卡塔尔,06/24/2026 12:00,3:1,推荐组合,System,1,72,1500.0,1545.0,1.03,1,0,0,2:0,two_goal_win,True,False,False,1,1,False
